station_id,station_name,station_url_name,start_date,end_date,water_temperature,staff_gauge,voltage,barometric_pressure,lat,long,site_info
P_BEDWELL,Bedwell River,Bedwell,2015/09/30 14:10,2023/05/10 07:00,True,True,True,False,49.396527,-125.750866,http://www.pacfish.ca/wcviweather/Content%20Pages/Bedwell/SiteInfo.aspx
P_BLACK,Black Creek,BlackCreek,2016/06/28 15:00,2023/05/10 07:00,True,True,False,False,49.84981,-125.100416,http://www.pacfish.ca/wcviweather/Content%20Pages/BlackCreek/SiteInfo.aspx
P_CLEMENS,Clemens Creek,Clemens,2014/07/15 16:50,2023/05/10 06:33,True,True,True,True,49.161428,-125.139618,http://www.pacfish.ca/wcviweather/Content%20Pages/Clemens/SiteInfo.aspx
P_CONUMA,Conuma River,Conuma,2016/07/27 17:45,2023/05/10 07:00,True,True,False,False,49.808424,-126.363929,http://www.pacfish.ca/wcviweather/Content%20Pages/Conuma/SiteInfo.aspx
P_DOCEE,Docee River,Docee,2016/07/12 10:00,2023/03/17 10:00,True,True,False,True,NA,NA,http://www.pacfish.ca/wcviweather/Content%20Pages/Docee/SiteInfo.aspx
P_ELLIOT,Elliot Creek,Elliot,2021/01/10 00:00,2023/05/10 03:00,True,True,True,False,50.869499,-124.693736,http://www.pacfish.ca/wcviweather/Content%20Pages/Elliot/SiteInfo.aspx
P_EVE,Eve River,Eve,2017/08/08 14:00,2023/05/10 07:00,True,True,False,False,50.353978,-126.203526,http://www.pacfish.ca/wcviweather/Content%20Pages/Eve/SiteInfo.aspx
P_FRENCH,French Creek,FrenchCreek,2018/07/16 22:00,2023/05/10 07:00,True,True,True,False,49.344134,-124.370811,http://www.pacfish.ca/wcviweather/Content%20Pages/FrenchCreek/SiteInfo.aspx
P_FULMORE,Fulmore River,Fulmore,2022/04/29 11:00,2023/05/10 07:00,True,True,False,True,50.581514,-125.899858,http://www.pacfish.ca/wcviweather/Content%20Pages/Fulmore/SiteInfo.aspx
P_HASLAM,Haslam Creek,Haslam,2016/05/16 12:20,2023/05/10 07:00,True,True,False,True,49.061018,-123.880302,http://www.pacfish.ca/wcviweather/Content%20Pages/Haslam/SiteInfo.aspx
P_HEYDON,Heydon River,Heydon,2019/01/01 06:00,2023/05/10 05:00,True,True,False,True,50.572986,-125.592496,http://www.pacfish.ca/wcviweather/Content%20Pages/Heydon/SiteInfo.aspx
P_KAOUK,Kaouk River,Kaouk,2014/09/12 14:10,2022/09/23 17:00,True,True,False,True,50.075622,-126.98908,http://www.pacfish.ca/wcviweather/Content%20Pages/Kaouk/SiteInfo.aspx
P_LEINER,Leiner River,Leiner,2018/10/09 11:00,2023/05/10 07:00,True,True,False,True,49.917909,-126.620831,http://www.pacfish.ca/wcviweather/Content%20Pages/Leiner/SiteInfo.aspx
P_NAHMINT,Nahmint River,Nahmint,2014/05/05 10:20,2023/05/10 07:00,True,True,False,False,49.082785,-124.921137,http://www.pacfish.ca/wcviweather/Content%20Pages/Nahmint/SiteInfo.aspx
P_U_NIMPKISH,Nimpkish Upper,Nimpkish,2015/06/15 13:30,2023/01/05 05:00,True,True,False,False,50.161472,-126.5315,http://www.pacfish.ca/wcviweather/Content%20Pages/Nimpkish/SiteInfo.aspx
P_L_NIMPKISH,Nimpkish Lower,NimpkishLower,2017/10/31 16:00,2023/05/10 05:00,True,True,False,False,50.517833,-127.016915,http://www.pacfish.ca/wcviweather/Content%20Pages/NimpkishLower/SiteInfo.aspx
P_NITINAT,Nitinat River,Nitinat,2021/08/11 15:00,2023/05/09 11:00,True,True,False,True,48.856846,-124.654527,http://www.pacfish.ca/wcviweather/Content%20Pages/Nitinat/SiteInfo.aspx
P_OWIKENO,Owikeno Lake,Owikeno,2016/11/22 14:00,2023/05/10 07:00,True,True,False,False,51.666344,-126.66923,http://www.pacfish.ca/wcviweather/Content%20Pages/Owikeno/SiteInfo.aspx
P_PHILLIPS,Phillips River,Phillips,2017/09/12 13:00,2023/05/10 04:30,True,True,False,False,50.582717,-125.374583,http://www.pacfish.ca/wcviweather/Content%20Pages/Phillips/SiteInfo.aspx
P_ROBERTSON,Robertson Creek,Robertson,2014/10/02 12:40,2023/05/10 07:00,True,True,False,False,49.339758,-124.98687,http://www.pacfish.ca/wcviweather/Content%20Pages/Robertson/SiteInfo.aspx
P_SANJUAN,SanJuan River,SanJuan,2015/05/05 19:00,2023/05/10 07:00,True,True,True,False,48.587846,-124.188485,http://www.pacfish.ca/wcviweather/Content%20Pages/SanJuan/SiteInfo.aspx
P_SPROAT,Sproat River,Sproat,2013/07/09 16:50,2023/05/10 07:00,True,True,False,True,49.290408,-124.903112,http://www.pacfish.ca/wcviweather/Content%20Pages/Sproat/SiteInfo.aspx
P_STAMP,Stamp River,Stamp,2013/11/06 10:30,2023/05/10 07:00,True,True,False,True,49.332326,-124.918244,http://www.pacfish.ca/wcviweather/Content%20Pages/Stamp/SiteInfo.aspx
P_TRANQUIL,Tranquil Creek,Tranquil,2022/09/15 18:00,2023/05/10 07:00,True,True,False,True,NA,NA,http://www.pacfish.ca/wcviweather/Content%20Pages/Tranquil/SiteInfo.aspx
